2018to19	Spring	WRITING	39	33334	HH	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	5	7	0	1	0	7	1
2018to19	Spring	WRITING	39	33333	GG	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	9	7	1	0	1	4	0
2018to19	Spring	WRITING	39	33331	EE	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	9	7	2	0	0	4	0
2018to19	Spring	WRITING	39	33330	DD	ARGUMENT &amp; RESEARCH	SEM	KEEPERMAN J.	10	7	2	0	0	4	0
2018to19	Spring	WRITING	39	33329	CC	ARGUMENT &amp; RESEARCH	SEM	KEEPERMAN J.	7	4	3	0	0	8	0
2018to19	Spring	WRITING	39	33328	BB	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	9	12	1	0	0	1	0
2018to19	Spring	WRITING	39	33327	AA	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	12	4	2	0	0	5	0
2018to19	Spring	WRITING	39	33325	Y	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	8	1	1	1	2	7	2
2018to19	Spring	WRITING	39	33324	X	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	10	4	1	0	2	5	0
2018to19	Spring	WRITING	39	33322	V	ARGUMENT &amp; RESEARCH	SEM	DUBEY J.	3	11	2	0	0	3	1
2018to19	Spring	WRITING	39	33321	U	ARGUMENT &amp; RESEARCH	SEM	DUBEY J.	5	8	2	0	2	5	0
2018to19	Spring	WRITING	39	33320	T	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	15	4	1	0	0	2	1
2018to19	Spring	WRITING	39	33319	S	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	10	6	3	0	0	3	0
2018to19	Spring	WRITING	39	33317	Q	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	11	10	1	0	0	1	0
2018to19	Spring	WRITING	39	33316	P	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	14	4	0	0	0	2	1
2018to19	Spring	WRITING	39	33315	O	ARGUMENT &amp; RESEARCH	SEM	HAAS L.	9	9	0	0	1	3	1
2018to19	Spring	WRITING	39	33314	N	ARGUMENT &amp; RESEARCH	SEM	HAAS L.	11	5	3	1	1	2	0
2018to19	Spring	WRITING	39	33313	M	ARGUMENT &amp; RESEARCH	SEM	KONGSHAUG E.	13	3	0	0	0	5	0
2018to19	Spring	WRITING	39	33312	L	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	13	5	1	0	0	4	0
2018to19	Spring	WRITING	39	33311	K	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	17	3	1	0	1	1	0
2018to19	Spring	WRITING	39	33310	J	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	6	7	1	0	0	9	0
2018to19	Spring	WRITING	39	33306	F	ARGUMENT &amp; RESEARCH	SEM	KEELER C.	5	11	3	0	2	1	0
2018to19	Spring	WRITING	39	33305	E	ARGUMENT &amp; RESEARCH	SEM	KEELER C.	8	5	1	0	0	8	0
2018to19	Spring	WRITING	39	33304	D	ARGUMENT &amp; RESEARCH	SEM	EASON L.	4	13	1	0	0	5	0
2018to19	Spring	WRITING	39	33303	C	ARGUMENT &amp; RESEARCH	SEM	EASON L.	2	15	0	0	0	6	0
2018to19	Spring	WRITING	39	33302	B	ARGUMENT &amp; RESEARCH	SEM	COLLINS R.	6	14	0	1	0	2	0
2018to19	Spring	WRITING	39	33278	Z1	CRIT READING &amp; RHET	SEM	ALLEN E.	14	1	2	0	0	4	1
2018to19	Spring	WRITING	39	33277	Y1	CRIT READING &amp; RHET	SEM	ALLEN E.	12	3	3	0	0	5	0
2018to19	Spring	WRITING	39	33276	X1	CRIT READING &amp; RHET	SEM	ALLEN E.	11	5	0	0	0	6	1
2018to19	Spring	WRITING	39	33275	W1	CRIT READING &amp; RHET	SEM	ALLEN E.	8	8	2	1	1	1	0
2018to19	Spring	WRITING	39	33274	V1	CRIT READING &amp; RHET	SEM	ALLEN E.	13	7	0	0	0	3	0
2018to19	Spring	WRITING	39	33273	U1	CRIT READING &amp; RHET	SEM	SEWARD S.	8	11	1	0	0	3	0
2018to19	Spring	WRITING	39	33272	T1	CRIT READING &amp; RHET	SEM	ALLEN E.	7	8	2	0	3	2	1
2018to19	Spring	WRITING	39	33271	S1	CRIT READING &amp; RHET	SEM	ALLEN E.	11	7	0	0	0	1	0
2018to19	Spring	WRITING	39	33269	Q1	CRIT READING &amp; RHET	SEM	ALLEN E.	7	11	1	0	1	2	0
2018to19	Spring	WRITING	39	33268	P1	CRIT READING &amp; RHET	SEM	ALLEN E.	6	10	4	0	0	2	1
2018to19	Spring	WRITING	39	33267	O1	CRIT READING &amp; RHET	SEM	ALLEN E.	7	6	2	0	1	2	0
